SiteName,Type,SR,Sdate,Stime,Pdate,Pmin,Peffort,Year
Blease_3B_6,AC,17,2,426,43201,39,4,A
Blease_3B_9,AC,15,17,353,43201,25,3,A
Bryson_2B_9,AC,12,28,553,43203,37,7,A
Creswell_0B_8,AC,9,36,355,43209,14,1,A
Creswell_2B_10,AC,9,22,354,43210,15,1,A
Hudson_2B_7,AC,16,25,558,43202,15,2,A
Kemp_0B_10,AC,13,35,386,43205,18,2,A
Kemp_1B_1,AC,11,28,425,43205,22,2,A
Kemp_2B_5,AC,17,9,521,43206,15,2,A
Kessler_3B_4,AC,13,22,514,43205,21,2,A
Kessler_3B_5B,AC,16,22,506,43208,15,2,A
Mathis_1B_6,AC,17,35,467,43209,16,2,A
Mills_0B_9,AC,10,26,419,43202,16,2,A
Mills_1B_45,AC,17,53,387,43210,19,3,A
Shealy_0B_2,AC,11,3,546,43208,16,2,A
Shealy_0B_4,AC,17,25,438,43206,18,2,A
Shealy_1B_3B,AC,12,11,367,43209,27,5,A
Shealy_1B_E_S,AC,17,21,509,43209,13,1,A
Shealy_2B_3,AC,13,39,443,43202,18,2,A
Suggs_0B_E_S,AC,14,33,406,43203,35,9,A
Swanson_3B_2,AC,17,23,428,43207,20,2,A
Turkey_Rd_2B_6A,AC,14,19,364,43210,16,2,A
Timberhaven_2B_1,AC,11,33,361,43207,19,2,A
Burnett_1B_5,AC,16,34,552,43206,35,6,A
Honea_Path_3B_3,AC,15,1,523,43208,18,2,A
Honea_Path_3B_1,AC,12,18,368,43207,15,2,A
Honea_Path_0B_1,AC,8,7,491,43202,13,1,A
Abercrombie_0B_E_AB,AC,7,2,578,43202,15,1,A
Abercrombie_1B_2,AC,12,17,414,43203,31,6,A
Blease_3B_6,PC,18,15,465,,,,A
Blease_3B_9,PC,13,15,481,,,,A
Bryson_2B_9,PC,8,10,501,,,,A
Creswell_0B_8,PC,10,20,495,,,,A
Creswell_2B_10,PC,13,20,517,,,,A
Hudson_2B_7,PC,17,22,422,,,,A
Kemp_0B_10,PC,12,29,458,,,,A
Kemp_1B_1,PC,10,29,387,,,,A
Kemp_2B_5,PC,12,29,358,,,,A
Kessler_3B_4,PC,12,19,487,,,,A
Kessler_3B_5B,PC,18,19,534,,,,A
Mathis_1B_6,PC,14,20,401,,,,A
Mills_0B_9,PC,14,23,362,,,,A
Mills_1B_45,PC,13,23,392,,,,A
Shealy_0B_2,PC,13,21,360,,,,A
Shealy_0B_4,PC,18,24,380,,,,A
Shealy_1B_3B,PC,13,21,421,,,,A
Shealy_1B_E_S,PC,15,21,457,,,,A
Shealy_2B_3,PC,14,24,361,,,,A
Suggs_0B_E_S,PC,18,19,356,,,,A
Swanson_3B_2,PC,17,23,476,,,,A
Turkey_Rd_2B_6A,PC,17,20,440,,,,A
Timberhaven_2B_1,PC,14,15,414,,,,A
Burnett_1B_5,PC,13,22,356,,,,A
Honea_Path_3B_3,PC,17,19,427,,,,A
Honea_Path_3B_1,PC,17,19,412,,,,A
Honea_Path_0B_1,PC,12,16,380,,,,A
Abercrombie_0B_E_AB,PC,13,16,432,,,,A
Abercrombie_1B_2,PC,10,16,410,,,,A
